file,label,ch1_rms,ch1_std,ch1_kurtosis,ch1_peak_to_peak,ch1_crest_factor,ch1_dominant_frequency,ch1_dominant_amplitude,ch1_spectral_centroid,ch1_spectral_bandwidth,ch1_spectral_energy,ch2_rms,ch2_std,ch2_kurtosis,ch2_peak_to_peak,ch2_crest_factor,ch2_dominant_frequency,ch2_dominant_amplitude,ch2_spectral_centroid,ch2_spectral_bandwidth,ch2_spectral_energy,ch3_rms,ch3_std,ch3_kurtosis,ch3_peak_to_peak,ch3_crest_factor,ch3_dominant_frequency,ch3_dominant_amplitude,ch3_spectral_centroid,ch3_spectral_bandwidth,ch3_spectral_energy,ch4_rms,ch4_std,ch4_kurtosis,ch4_peak_to_peak,ch4_crest_factor,ch4_dominant_frequency,ch4_dominant_amplitude,ch4_spectral_centroid,ch4_spectral_bandwidth,ch4_spectral_energy,ch5_rms,ch5_std,ch5_kurtosis,ch5_peak_to_peak,ch5_crest_factor,ch5_dominant_frequency,ch5_dominant_amplitude,ch5_spectral_centroid,ch5_spectral_bandwidth,ch5_spectral_energy,ch6_rms,ch6_std,ch6_kurtosis,ch6_peak_to_peak,ch6_crest_factor,ch6_dominant_frequency,ch6_dominant_amplitude,ch6_spectral_centroid,ch6_spectral_bandwidth,ch6_spectral_energy
data\mafaulda\normal\12.288.csv,normal,0.9791777752906179,0.9791741607223889,1.9342677699078192,4.6713000000000005,3.2097337980799456,0.440772,0.6048892446149284,0.23348541432142833,0.173100739461831,0.4793910223029957,0.3073705929142411,0.30736994391002836,2.2740550946355933,2.33331,5.560063450574852,0.440772,0.1866617048158584,0.2235290312922232,0.1742426190621459,0.04723814280669425,0.04480979144083867,0.04480861959546429,2.622561425008221,0.36179,4.205777208944202,0.440772,0.021347755512062014,0.1296055052909123,0.14062189188176158,0.0010039061964004865,0.668827447103778,0.6681045645860387,2.612858835948321,4.2564,3.4091005229115554,0.000484,0.17694389607762487,0.05662060941196772,0.12041050822136184,0.2231818546465468,0.030364411677687265,0.030199951168850804,2.232540688430931,0.16862,2.821329147661986,0.000484,0.003851343447023748,0.09459908404079759,0.1273288114800385,0.00045601956138988515,0.19757497748101052,0.1975124564461953,2.7490188127415314,1.4460600000000001,4.001468251088825,0.000484,0.04818489244793597,0.11026653446509317,0.1466510301294711,0.019505585255190156
data\mafaulda\normal\13.1072.csv,normal,1.2455864327635453,1.2454805075937057,2.0152470536803606,6.4158,3.560732425291179,0.440584,0.7311408121328691,0.22979714166639537,0.17415791862093674,0.7756108833125528,0.30947622853400447,0.30947585771186176,2.339577299197746,2.41686,5.8641014465322145,0.440584,0.1825601918825024,0.22223835713389076,0.1741080746365439,0.0478876534953782,0.04652797790656458,0.046526259918073125,2.6922718125102434,0.38634999999999997,4.4267988600523305,0.440584,0.020807469490213053,0.12883703115687734,0.13928369582173689,0.0010823464350188257,0.8937846464036291,0.8936730812277783,2.4028365600833244,5.4184,3.3004594692240805,2.4e-05,0.2962235121033618,0.05697520328965445,0.12118584051268873,0.3993257880594313,0.030155604953482053,0.030011840496531175,2.233333250006764,0.172355,2.9732449354269215,0.000256,0.0034669938701439983,0.09469008076868533,0.1270808487269166,0.00045035641267963104,0.2842619039331191,0.28426164889366917,2.4160300030923967,1.69278,3.071603994808503,2.4e-05,0.0948351150802694,0.10932053649670531,0.14612742840596354,0.040402342518511394
data\mafaulda\normal\14.336.csv,normal,1.3272392495003154,1.3264158671850197,1.9784289816313916,6.6176,3.3544818700477212,0.44051199999999996,0.8461446126186216,0.22071772946724408,0.169896789191274,0.8796895282420528,0.3062845621959085,0.3062842202726203,2.365686576838132,2.2473099999999997,5.361027626373236,0.44051199999999996,0.19737228979812754,0.21552043474338387,0.17174066671100854,0.04690501394489071,0.04938303438628079,0.04938019340700675,2.7735405298044697,0.42103999999999997,4.473398653972377,0.44051199999999996,0.022993183383095174,0.12189162006146124,0.1310659147584559,0.001219201753190438,0.8122883872791155,0.8114858781361509,2.751370229646847,5.3355999999999995,3.4114731209454776,1.6e-05,0.24926051611305117,0.056181768999961114,0.11785514081097459,0.3292546652075645,0.03150543928413042,0.031407639654110385,2.302634886679192,0.18565900000000002,3.0823566310557697,8.8e-05,0.004561960773818393,0.09848013741183033,0.1300101057875223,0.0004932204817169753,0.19862265111169977,0.1982535786012881,2.9814959002867507,1.5687000000000002,4.372864800169571,1.6e-05,0.05662720231768929,0.10584304288833732,0.1382867881866019,0.01965224071585911
data\mafaulda\normal\15.1552.csv,normal,1.291971047179721,1.2916698199677052,2.001415385194312,6.5817,3.470279004657362,0.440492,0.6367687784467202,0.22969334122537802,0.17160123021002413,0.834205461974342,0.30971973689588794,0.30971915716537396,2.3870613655441066,2.32807,5.418124192783618,0.440492,0.15339164991510085,0.22397980461430325,0.17420560292973736,0.047962978187314396,0.051197937915018275,0.051195974213017394,2.7923642078213176,0.41167,4.286305435496779,0.440492,0.017523632837468262,0.12544745567592372,0.13464682534404476,0.0013105139028848998,0.8473695457698773,0.8466956954703304,2.6597189847376725,5.145,3.142430611270636,3.6e-05,0.27469673662605953,0.05815490371207634,0.12087696831956095,0.35844680038004395,0.030815047290584128,0.030706324054946523,2.284790904832024,0.185616,3.288328546623053,0.000296,0.003220566068328759,0.095811043792682,0.1286427460210354,0.00047144000908366394,0.20823173525984218,0.2078195979578071,3.0868834944348453,1.57229,4.014421714132294,3.6e-05,0.05713918755047591,0.10914154707738422,0.14127755603602415,0.021594492662793688
data\mafaulda\normal\16.1792.csv,normal,1.1362104923801875,1.136197788889071,1.9998299094143677,5.9270000000000005,3.57231342859719,0.4405,0.7174176279442949,0.21795907932587544,0.16360965936255786,0.6454727078802778,0.3268692924054836,0.32686840299224573,2.4722165810471486,2.39119,5.307014270760531,0.4405,0.2054488618403555,0.21340409383832942,0.17031395278086367,0.05342147644581161,0.05496929638042924,0.054967592206523155,2.8402492533348465,0.45311999999999997,4.279843750297219,0.4405,0.02317689590177077,0.11844299847260245,0.12535329022681263,0.0015107181230511512,0.7917674386007826,0.7908528233104004,2.7967589059346993,5.1851,3.3008429903211387,7.599999999999999e-05,0.271581300489209,0.057807687547703435,0.11867578668462954,0.3127240940929315,0.02937441266052843,0.029242059130570697,2.13514198957699,0.16258,2.7872897636278435,0.000636,0.002994075166073312,0.0967711374855128,0.12787605828195403,0.0004275498234835585,0.26695527481797016,0.25947314118529713,3.0097414387481383,2.1492,4.074090689289421,0.00011999999999999999,0.07158808987747016,0.09965266032489375,0.1334156743231978,0.033663155517626824
data\mafaulda\normal\17.2032.csv,normal,1.05543343664775,1.055429089105128,1.9732615264687563,5.1973,3.2581874709185263,0.44051599999999996,0.5740766706002286,0.23018092298413823,0.17051918252373258,0.5569652819738526,0.33075490821240794,0.33075442916734155,2.51072490538653,2.47913,5.348371121764658,0.44051599999999996,0.17858407416813468,0.2190443573962464,0.17226737520264535,0.05469924628589331,0.057574353819944066,0.05757307412487054,2.9375735189639176,0.51727,4.565748151781524,0.44051599999999996,0.020021849591673514,0.12152015421621645,0.12882721250162726,0.001657329472740901,1.2646472979075172,1.264580290587376,2.0396827715192716,6.218400000000001,2.6912642009849685,1.9999999999999998e-05,0.7426393876113921,0.06000251941920338,0.12116936324716908,0.79958165567125,0.029346019834919752,0.029217984342974956,2.1189213214726474,0.163717,2.912456278212288,1.9999999999999998e-05,0.004487794477244083,0.09991184117669964,0.13008703892592832,0.00042684604343726104,0.5171258706127569,0.5169919091095261,1.8618008083873507,2.6036,2.615804152547169,1.9999999999999998e-05,0.3206927396594297,0.1013284521853764,0.13448902416393876,0.1336403170505242
data\mafaulda\normal\18.432.csv,normal,1.1034323378020552,1.1031030342762904,2.1453244186643965,6.0577,3.7633481069580546,0.44054,0.4606344459414649,0.22676876298203066,0.16973000681174866,0.6084181590953714,0.3226128449425055,0.3226117494803968,2.5149844880743584,2.3589,5.1135595663670665,0.44054,0.1379582440776672,0.21508274510157943,0.17201979068098897,0.05203917394452928,0.060911725103486636,0.060910794993882626,2.9022418632595235,0.5436399999999999,4.595995254850792,0.44054,0.015646302260042478,0.12017886748785388,0.12615764045304678,0.0018550624907338483,1.205270915934919,1.2015537989852132,2.142012044334398,6.4653,2.9111297330087953,1.6e-05,0.5558742426384512,0.060234344373726344,0.12047317171552208,0.7218657659308976,0.029673877472966244,0.029507365821401187,2.223682116449941,0.184443,3.398612121116158,1.6e-05,0.0031413540678659727,0.09838133480943759,0.1296886146233401,0.0004353433859726332,0.32142583465309865,0.32090014297901254,2.593939322737946,2.16937,3.8410104805307594,1.6e-05,0.1296139084617808,0.10132458542881541,0.13231183184017667,0.05148845090332311
data\mafaulda\normal\19.6608.csv,normal,1.0500998364529213,1.0500921947128194,2.1867582859616226,5.9192,3.8203034229287063,0.44056799999999996,0.5566972788012975,0.2253820604957699,0.16563906094337524,0.5513468090081886,0.31486452804839343,0.3148644896622678,2.3822009700717883,2.4671,5.302915542182262,0.44056799999999996,0.17002472188849607,0.2049406963092115,0.17105341159686374,0.04956982430035529,0.0696492515552508,0.06964807730782996,3.017167973747263,0.6674800000000001,5.202496672807866,0.44056799999999996,0.019719267138648286,0.11463254848002394,0.12118453776239323,0.0024254273475817663,0.7016484081156289,0.6970244657851784,3.010885887593332,4.6963,3.4035564992917293,4.4e-05,0.2313011145824345,0.06421162330346593,0.12181237020457891,0.2429215529738568,0.029171665776870737,0.02904905017868974,2.1200262285926104,0.16655999999999999,3.0029138675091978,4.4e-05,0.0024254548655333772,0.1003958960883837,0.13081965521059766,0.0004219246333760127,0.23572556536677042,0.23163604219723333,2.7664412857033143,1.62676,3.5430607551887894,4.4e-05,0.06757638521485726,0.09940251652882506,0.12793984946480638,0.026827628077256478
data\mafaulda\normal\20.2752.csv,normal,1.0381640794559237,1.038163680403562,2.2092479669270553,5.8003,3.8397591271941773,0.44057999999999997,0.5664733342281175,0.22607521731470298,0.16630198984904374,0.5388919610737144,0.31934413369757003,0.31934365220767735,2.404861509482037,2.45441,5.0234209124908835,0.44057999999999997,0.17625556724581135,0.20616614759674126,0.17241923789083058,0.05099022097633649,0.07055790258606974,0.07055695922271449,2.9885302580137387,0.64649,4.678568770230378,0.44057999999999997,0.019788525372804847,0.11924697051545007,0.12350250477290425,0.0024891422476965696,0.7196811622297854,0.7191766575377052,2.5121587032552792,4.772399999999999,3.3298078724782263,3.6e-05,0.22613989439724866,0.06574802436288865,0.12400693282820631,0.2586075336055524,0.02898420328840165,0.028854308186788264,2.1030748247770683,0.163909,2.9616477240961614,0.00036399999999999996,0.002912555308645516,0.09944675978158805,0.13008571019488605,0.00041628644506879674,0.25750423314426135,0.25679924488100225,2.7146545457033553,2.0809800000000003,4.344782941640953,3.6e-05,0.07756376517329217,0.10204013452070994,0.12989229529427881,0.03297292711739351
data\mafaulda\normal\21.7088.csv,normal,0.9923497447635935,0.9923230722626314,2.183049887016091,5.5673,3.8725258104724336,0.440604,0.5699514540750524,0.2192530964711698,0.1681548854391012,0.4923525548819194,0.3216738477652201,0.32167348620131164,2.3896969996420934,2.44519,5.202163654600691,0.440604,0.19033826891375727,0.2057374859673347,0.16979815143247523,0.051736915891135785,0.07573612236638498,0.07573542333637559,2.9383812246519088,0.65069,4.595429349508558,0.000424,0.023369429753657602,0.11458692123226684,0.11979047195016437,0.0028679271746061626,0.5712601981468883,0.5712254917751194,3.221099234471049,4.4573,3.9470630142265155,3.9999999999999996e-05,0.12791316199401503,0.0669325165848464,0.12333606335924867,0.16314928124026468,0.02877903712805233,0.028672205260806723,2.077655342983471,0.162196,2.867191120610825,0.000424,0.0023312225047011632,0.09987421383684159,0.13011637096544715,0.0004110487605992634,0.22871628981964515,0.22732962082837907,3.620906910637313,2.09114,4.812949704573923,1.2e-05,0.061687699503326955,0.10104563386511221,0.1258942929931421,0.025839378264753233
