file,actual,predicted,correct,confidence,feature_extraction_ms,inference_ms,total_processing_ms
data\mafaulda\normal\12.288.csv,normal,normal,True,98.65995492511348,156.86229999846546,74.70970000576926,231.57200000423472
data\mafaulda\normal\13.1072.csv,normal,normal,True,98.83987210937848,174.0118000016082,57.323799999721814,231.33560000133002
data\mafaulda\normal\14.336.csv,normal,normal,True,98.60448860989924,164.0832000048249,55.67449999944074,219.75770000426564
data\mafaulda\normal\15.1552.csv,normal,normal,True,98.60448860989924,164.58160000183852,57.78419999842299,222.36580000026152
data\mafaulda\normal\16.1792.csv,normal,normal,True,99.58734987525479,164.70069999922998,50.21169999963604,214.91239999886602
data\mafaulda\normal\17.2032.csv,normal,normal,True,99.30401654192143,170.02309999952558,57.81610000121873,227.8392000007443
data\mafaulda\normal\18.432.csv,normal,normal,True,97.45176473137052,169.1999999966356,56.327099999180064,225.52709999581566
data\mafaulda\normal\19.6608.csv,normal,normal,True,99.52499115699753,167.02609999629203,57.137499999953434,224.16359999624547
data\mafaulda\normal\20.2752.csv,normal,normal,True,99.87453522994585,170.80880000139587,56.01780000142753,226.8266000028234
data\mafaulda\normal\21.7088.csv,normal,normal,True,99.89536856327919,167.53079999762122,56.285500002559274,223.8163000001805
data\mafaulda\normal\22.3232.csv,normal,normal,True,99.89536856327919,186.1103000046569,59.90469999960624,246.01500000426313
data\mafaulda\normal\23.552.csv,normal,normal,True,99.84821944047218,218.12629999476485,57.500399998389184,275.62669999315403
data\mafaulda\normal\24.576.csv,normal,normal,True,99.87453522994586,165.6933999984176,57.38089999795193,223.07429999636952
data\mafaulda\normal\25.6.csv,normal,normal,True,99.87453522994585,182.63889999798266,57.040599996980745,239.6794999949634
data\mafaulda\normal\26.624.csv,normal,normal,True,99.87453522994585,168.4746000028099,57.214500004192814,225.6891000070027
data\mafaulda\normal\27.4432.csv,normal,normal,True,88.42289006337762,171.90129999653436,56.16070000542095,228.0620000019553
data\mafaulda\normal\28.8768.csv,normal,normal,True,99.72005018011195,166.67360000428744,57.39970000286121,224.07330000714865
